Site ID,Transect,Site,County,Urbanisation,Type,Distance,Plot.Number,SR.Total,SR.Native Saltmarsh,SR.Mangrove,SR.Exotics,SR.Casuarinas,SR.Nat.Non.SM,SR.Exot.Non.SM,C.Native Saltmarsh,C.Mangrove,C.Exotics,C.Casuarina,C.Nat.Non.SM,C.Exot.Non.SM,Total.N,Total.P,pH,salinity,TDR,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Rb,Sr,Y,Zr,Nb,Mo,Cd,Ba,Ta,Pb,Th,U
SP1SW1,A,Sugarloaf Point,North Ryde,Industrial,Outlet,3,1,4,0,0,4,0,1,3,0,0,101,0,0.5,100.5,0.3,447.4,6.8,195,31.6,343,101,5.2,8848,3213,43,62,225,18597,16,29,254,7,36,145,16,853,11,1,3,174,7,117,9,3
SP1SW2,A,Sugarloaf Point,North Ryde,Industrial,Outlet,6,2,3,0,0,3,0,1,2,0,0,142,0,50,92,0.3,409.2,6.4,316,33,524,458,7.8,9799,3172,41,63,228,21868,17,32,242,2,34,100,12,727,7,1,3,155,6,126,11,3
SP1SW3,A,Sugarloaf Point,North Ryde,Industrial,Outlet,9,3,5,4,0,1,0,0,1,10,0,55,0,0,55,0.1,304.3,6.5,1100,34.3,66,1977,4,3143,2311,17,38,86,13397,11,4,102,2,28,92,12,660,8,1,3,112,5,100,7,3
SP1SW4,A,Sugarloaf Point,North Ryde,Industrial,Outlet,12,4,4,3,1,0,0,0,0,100,61,0,0,0,0,0.2,243.5,6.2,2157,35.5,664,5066,5.5,1792,3343,34,29,40,14064,11,59,70,2,28,68,9,953,7,1,3,57,4,52,7,5
SP1SW5,A,Sugarloaf Point,North Ryde,Industrial,Outlet,15,5,1,0,1,0,0,0,0,0,100,0,0,0,0,0.2,222.2,6.7,9070,34.9,595,4924,3.2,552,1847,22,20,16,8647,6,4,65,2,32,74,10,453,8,1,3,82,4,51,5,3
SP1CL1,B,Sugarloaf Point,North Ryde,Industrial,Control,3,1,1,0,0,1,0,0,1,0,0,30,0,0,30,0.5,415.8,5.7,199,21.6,278,101,5.3,5723,3143,47,48,211,25420,23,15,358,8,38,131,14,867,11,1,3,191,7,138,9,3
SP1CL2,B,Sugarloaf Point,North Ryde,Industrial,Control,6,2,3,0,0,2,1,1,1,0,0,65,10,20,45,0.2,220.1,6.3,72,30.8,291,101,7,3407,3123,34,47,213,20954,13,19,696,7,30,82,12,757,8,1,3,141,6,117,10,6
SP1CL3,B,Sugarloaf Point,North Ryde,Industrial,Control,9,3,2,1,0,1,0,0,1,0.5,0,20,0,0,20,0.2,348.8,6.3,2630,32.4,66,2872,4.4,2188,2989,32,39,203,20421,15,10,98,2,33,104,10,813,13,1,3,142,5,65,9,3
SP1CL4,B,Sugarloaf Point,North Ryde,Industrial,Control,12,4,4,3,1,0,0,0,0,81,5,0,0,0,0,0.2,242.8,5.8,4650,34,756,8838,5.2,1717,2750,33,34,55,19756,13,11,77,2,33,60,8,824,6,1,3,83,4,53,6,6
SP1CL5,B,Sugarloaf Point,North Ryde,Industrial,Control,15,5,1,0,1,0,0,0,0,0,80,0,0,0,0,0.2,272.3,5.2,8940,34.1,876,5579,3.5,742,2199,25,34,17,12473,6,4,82,2,32,78,13,899,9,1,3,84,4,67,8,3
CB1SW1,C,Careel Bay,Pittwater,Residential,Outlet,6,1,5,0,0,5,0,0,4,0,0,75,0,0,35,0.9,886.8,5.7,2136,44.7,736,2741,4.9,10548,2226,33,38,268,14950,6,52,369,8,48,147,17,883,8,1,3,171,5,95,7,7
CB1SW2,C,Careel Bay,Pittwater,Residential,Outlet,12,2,5,1,0,4,0,0,3,1,0,99,0,0,89,1.1,1119.3,6.1,516,86.8,1019,285,6.1,12561,2498,38,49,263,18445,15,77,448,13,51,163,15,766,10,1,3,159,5,105,9,3
CB1SW3,C,Careel Bay,Pittwater,Residential,Outlet,18,3,2,0,0,2,0,0,2,0,0,55,0,0,55,1,1135.8,5.9,1946,51.9,1326,1751,6.3,13374,2599,37,41,173,18262,6,57,402,9,52,160,15,891,11,1,3,198,5,89,6,7
CB1SW4,C,Careel Bay,Pittwater,Residential,Outlet,24,4,5,1,0,3,1,0,3,10,0,80.5,50,0,80.5,0.5,519.6,5,422,19.2,760,551,3.2,2462,1476,14,25,39,11063,6,12,61,6,26,79,7,825,7,4,3,83,1,39,4,7
CB1SW5,C,Careel Bay,Pittwater,Residential,Outlet,30,5,1,0,1,0,0,0,0,0,75,0,0,0,0,0.2,304.8,6.9,3287,32.9,808,12521,3.2,1391,1647,15,41,46,18738,6,44,92,8,21,37,5,794,4,1,3,65,3,46,4,3
CB1CL1,D,Careel Bay,Pittwater,Residential,Control,6,1,1,1,0,0,0,0,0,50,0,0,0,0,0,0.1,110.7,7,5270,33.7,668,15299,3.4,406,1665,22,11,16,8613,6,4,15,6,21,36,6,775,3,4,3,59,1,11,1,3
CB1CL2,D,Careel Bay,Pittwater,Residential,Control,12,2,2,1,1,0,0,0,0,70,25,0,0,0,0,0.2,176.7,7,6060,34.8,553,10558,2.3,150,1109,15,13,6,6857,6,4,15,7,29,48,10,769,2,4,3,43,3,20,1,3
CB1CL3,D,Careel Bay,Pittwater,Residential,Control,18,3,2,1,1,0,0,0,0,80,20,0,0,0,0,0.2,167.7,7,11150,35.4,874,19087,4.5,593,1364,20,18,6,6919,6,4,14,7,31,47,6,808,2,3,3,47,1,14,5,3
CB1CL4,D,Careel Bay,Pittwater,Residential,Control,24,4,2,1,1,0,0,0,0,5,90,0,0,0,0,0.2,195.5,7.1,15140,35.2,684,13875,3.6,508,1375,26,19,27,13356,6,4,24,12,46,64,9,738,6,6,3,65,1,20,5,3
CB1CL5,D,Careel Bay,Pittwater,Residential,Control,30,5,1,0,1,0,0,0,0,0,100,0,0,0,0,0.3,343.6,7.1,16010,35.4,1243,23443,6.9,1304,1960,35,27,33,15009,6,4,29,15,55,73,8,700,3,4,3,95,4,32,4,3
CF1SW1,E,Lane Cove River,Chatswood,Industrial,Outlet,3,1,2,0,0,1,1,1,1,0,0,100,5,95,5,0.6,858.6,6.9,7440,17,722,101,7.8,18667,3978,67,61,512,25123,21,49,291,6,37,168,13,572,8,1,3,211,7,68,7,3
CF1SW2,E,Lane Cove River,Chatswood,Industrial,Outlet,6,2,8,0,0,7,1,4,3,0,0,163,10,105,8,0.8,997.8,6.8,673,15.8,643,101,6.7,16344,3250,42,53,459,19015,23,54,369,15,40,196,14,583,11,1,3,199,7,71,7,3
CF1SW3,E,Lane Cove River,Chatswood,Industrial,Outlet,9,3,3,1,0,1,1,0,1,5,0,0.5,30,0,0.5,0.7,745.6,6.6,8440,29.2,1281,15070,7.5,8935,3366,50,59,468,18589,12,55,269,23,57,210,9,454,9,1,3,202,6,78,10,3
